category,product_name,brand,price,rating,rating_avg,rating_count,scrape_date
Mouse,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - White",Logitech,47.65,,,,
Mouse,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Blue",Logitech,52.20,,,,
Keyboard,ASUS XA07 ROG Strix Flare II Animate 100% RGB Gaming Keyboard with Hot-swappable ROG NX Red Linear and Swift Switches,ASUS,180.12,,,,
Keyboard,ASUS XA05 ROG Strix Scope RX/BL/US Mechanical Gaming Keyboard with ROG NX Blue Optical Mechanical Switches,ASUS,121.90,,,,
Mouse,"Logitech MX Master 2S Wireless Mouse – Use on Any Surface, Hyper-Fast Scrolling, Ergonomic Shape, Rechargeable, Control Upto 3 Apple Mac and Windows Computers, Graphite",Logitech,79.43,,3.8,8,2026-01-14
Mouse,"Logitech M170 Wireless Mouse for PC, Mac, Laptop, 2.4 GHz with USB Mini Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous - Rose",Logitech,22.88,,5.0,1,2026-01-14
Mouse,"Logitech Pebble 2 M350s Mouse, Slim, compact Bluetooth® Wireless, customizable button, Multi-device pairing, Black",Logitech,33.97,,,,2026-01-14
Mouse,"NGS GMX-200, Wireless Gaming Mouse with LED Lights, Black",Unknown,18.69,,,,2026-01-14
Mouse,HP 235 Wireless Keyboard & Mouse 1Y4D0UTABA,Unknown,24.00,,,,2026-01-14
Mouse,AULA F805 RGB Gaming Mouse 6400DPI Wired Backlit USB Computer Mouse Gamer 7 Programmable Buttons Ergonomic for Laptop Desktop,Unknown,25.99,,,,2026-01-14
Mouse,"NGS Fog Pro, Wireless Silent Mouse, Black",Unknown,12.39,,,,2026-01-14
Mouse,"Wired Gaming Mouse, 12000 DPI RGB Gaming Mouse with 12 Backlit Modes & 7 Macro Buttons, PC Gaming Mice Support DIY Keybinding, Mouse Gamer Computer Mouse for Laptop PC Mac Windows,Topographic",Unknown,59.99,,,,2026-01-14
Mouse,AULA SC100 Wireless Gaming Mouse with 800mAh Battery Rechargeable LED Backlight USB Receiver Ergonomic Optical 2.4G Cordless Metal Mice for PC Laptop Tablet Desktop Computer Games/Work,Unknown,31.99,,,,2026-01-14
Mouse,AULA S20 USB Wired Gaming Mouse Marco Programmable 2400DPI Adjustable Optical Ergonomic Mouse with 4-Color Breathing Light for PC Laptop,Unknown,25.99,,,,2026-01-14
Mouse,AULA SC300 2.4G Wireless Rechargeable Mouse 4 Colors RGB Gaming Mouse Charging While Using Ergonomic Optics for MacOS Windows,Unknown,49.99,,,,2026-01-14
Mouse,"Hitoor RGB Magnetic Charging Dock Gaming Mouse, 6 adjustable DPI (800-12,000) uop to 12K DPI, PAW3311 Sensor, Tri-Mode Wireless Gaming Mice, 6 Programmable Buttons, Ultra-Light 72g for PC/Mac (Black)",Unknown,38.99,,,,2026-01-14
