category,product_name,brand,price,rating_avg,rating_count,scrape_date
Monitor,"Z-EDGE 24 inch FHD 1920x1080 240Hz 1ms IPS Gaming Monitor, HDMI 2.0, DisplayPort 1.4 (Black)",Unknown,129.99,,,2026-01-14
Monitor,"Acer 27” 170Hz 2K Gaming Monitor 1ms AMD FreeSync Premium, WQHD (2560 x 1440), HDR Support (1 x Display Port 1.2 & 2 x HDMI 2.0 Ports) Nitro KG271U Pbiip",Unknown,149.99,4.0,96,2026-01-14
Monitor,"MSI MAG 321UP 31.5” 4K UHD QD-OLED Gaming Monitor – 165Hz, 0.03ms GTG, AMD FreeSync Premium Pro, HDR True Black 400, HDMI 2.1, USB-C, Anti-Reflection, Adjustable Stand, VESA Mountable",Unknown,749.99,4.6,311,2026-01-14
Monitor,"MSI PRO MP251W E2 Gaming Monitor 24.5-inch IPS 1920 x 1080 (FHD), 120Hz, Adaptive Sync, HDR Ready, HDMI, VGA Port, Display Port,VESA Mountable, Tilt, Speaker, 4-side slim bezel ,1ms, White",Unknown,99.99,4.5,13,2026-01-14
Monitor,"16 Inch Portable Monitor for Laptop, 1920x1200P Ultra-Slim FHD IPS 16:10 External Display, 100% sRGB Aluminum Stand, USB-C/Mini HDMI, Use for PC, Phone, Office (Pink)",Unknown,80.99,,,2026-01-14
Monitor,"30"" Curved Gaming Monitor, 144Hz/200Hz Ultrawide Computer Monitor, WFHD(2560*1080P)VA Screen,21:9,1500R,99%sRGB, PC Monitors Support FreeSync, With HDMI/DP, Support Wall Mount- Black",Unknown,174.99,4.9,10 from crua-monitor.com,2026-01-14
Monitor,"SCEPTRE C248W-1920RN 24"" (Actual size 23.6"") Full HD 1920 x 1080 75Hz HDMI VGA Built-in Speakers Widescreen Ultra Slim LED Backlight Curved Gaming Monitor",Unknown,175.55,3.5,13,2026-01-14
Monitor,"ASUS ROG Strix 27"" 1440P HDR Gaming Monitor (XG27AQM) - QHD (2560 x 1440), Fast IPS, 270Hz, 0.5ms, Extreme Low Motion Blur Sync, G-SYNC Compatible, DisplayHDR 400, Eye Care, DisplayPort, HDMI, USB 3.0",Unknown,"1,410.53",4.7,27,2026-01-14
Monitor,"ASUS ROG Swift PG65UQ 65"" (Actual size 64.5"") HDR Gaming Monitor 144Hz 4K (3840 x 2160) G-Sync Ultimate Eye Care DisplayPort HDMI USB Aura Sync HDR10 DisplayHDR1000 UHD Premium",Unknown,"8,012.28",,,2026-01-14
Monitor,"MSI 27"" 180 Hz Rapid VA QHD Gaming Monitor Adaptive Sync 89% Adobe RGB 93% DCI-P3 128% sRGB MAG 274CQF",Unknown,215.22,4.3,6,2026-01-14
Monitor,"MSI MPG 491CQP Gaming Monitor QD-OLED 49"" 32:9 Curved 1800R, 144Hz 0.03ms, 5120 x 1440 (DQHD), Height Adjustable Arm, AI ENGINE",Unknown,849.99,4.5,45,2026-01-14
Monitor,"LG 24U411A-B 24-inch Full HD (1920 x 1080) IPS Computer Monitor, 120Hz, HDR10, Reader Mode, Flicker Safe, HDMI, Slim Stand Base, Black",Unknown,85.99,,,2026-01-14
